Feature value 1, Feature value 2, Jaccard coefficient for MMP-IGHV-targeting set, Jaccard coefficient for IGHV-reference set
Canonical_H1_0,Canonical_H2_0,0,0
Canonical_H1_0,Canonical_H2_6,0,0.003383277
Canonical_H1_0,Canonical_H3_0,0,0.006116208
Canonical_H1_0,Canonical_H3_1,0,0.004878049
Canonical_H1_0,Canonical_H3_2,0,0.004938272
Canonical_H1_0,Canonical_H3_3,0,0.002617801
Canonical_H1_0,PI_0.0-3.5,0,0.002770083
Canonical_H1_0,PI_3.5-3.9375,0,0.004587156
Canonical_H1_0,PI_3.9375-4.375,0,0.001090513
Canonical_H1_0,PI_4.375-4.8125,0,0
Canonical_H1_0,PI_4.8125-5.25,0,0.007092199
Canonical_H1_0,PI_5.25-5.6875,0,0.005813953
Canonical_H1_0,PI_5.6875-6.125,0,0.003496503
Canonical_H1_0,PI_6.125-7.0,0,0.004255319
Canonical_H1_0,PI_7.0-14.0,0,0
Canonical_H1_1,Canonical_H1_0,0,0
Canonical_H1_1,Canonical_H1_2,0,0
Canonical_H1_1,Canonical_H2_0,0.052238806,0.044938615
Canonical_H1_1,Canonical_H2_6,0.947761194,0.951523546
Canonical_H1_1,Canonical_H3_0,0.141791045,0.072238944
Canonical_H1_1,Canonical_H3_1,0.074626866,0.044243688
Canonical_H1_1,Canonical_H3_2,0.246268657,0.09029868
Canonical_H1_1,Canonical_H3_3,0.537313433,0.791262136
Canonical_H1_1,PI_0.0-3.5,0.194029851,0.080379893
Canonical_H1_1,PI_3.5-3.9375,0.402985075,0.299097849
Canonical_H1_1,PI_3.9375-4.375,0.21641791,0.208893006
Canonical_H1_1,PI_4.375-4.8125,0.02238806,0.052826691
Canonical_H1_1,PI_4.8125-5.25,0.02238806,0.062065771
Canonical_H1_1,PI_5.25-5.6875,0.02238806,0.03659949
Canonical_H1_1,PI_5.6875-6.125,0.074626866,0.129226494
Canonical_H1_1,PI_6.125-7.0,0.014925373,0.050949514
Canonical_H1_1,PI_7.0-14.0,0.029850746,0.079240037
Canonical_H1_2,Canonical_H1_0,0,0
Canonical_H1_2,Canonical_H2_0,0,0
Canonical_H1_2,Canonical_H2_6,0,0.000241663
Canonical_H1_2,Canonical_H3_0,0,0
Canonical_H1_2,Canonical_H3_1,0,0
Canonical_H1_2,Canonical_H3_2,0,0.002544529
Canonical_H1_2,Canonical_H3_3,0,0
Canonical_H1_2,PI_0.0-3.5,0,0
Canonical_H1_2,PI_3.5-3.9375,0,0.000769231
Canonical_H1_2,PI_3.9375-4.375,0,0
Canonical_H1_2,PI_4.375-4.8125,0,0
Canonical_H1_2,PI_4.8125-5.25,0,0
Canonical_H1_2,PI_5.25-5.6875,0,0
Canonical_H1_2,PI_5.6875-6.125,0,0
Canonical_H1_2,PI_6.125-7.0,0,0
Canonical_H1_2,PI_7.0-14.0,0,0
Canonical_H1_3,Canonical_H1_0,0,0
Canonical_H1_3,Canonical_H1_1,0,0
Canonical_H1_3,Canonical_H1_2,0,0
Canonical_H1_3,Canonical_H2_0,0,0.005102041
Canonical_H1_3,Canonical_H2_6,0,0.000241604
Canonical_H1_3,Canonical_H3_0,0,0.003164557
Canonical_H1_3,Canonical_H3_1,0,0
Canonical_H1_3,Canonical_H3_2,0,0
Canonical_H1_3,Canonical_H3_3,0,0.000291206
Canonical_H1_3,PI_0.0-3.5,0,0
Canonical_H1_3,PI_3.5-3.9375,0,0
Canonical_H1_3,PI_3.9375-4.375,0,0.001104972
Canonical_H1_3,PI_4.375-4.8125,0,0
Canonical_H1_3,PI_4.8125-5.25,0,0
Canonical_H1_3,PI_5.25-5.6875,0,0
Canonical_H1_3,PI_5.6875-6.125,0,0
Canonical_H1_3,PI_6.125-7.0,0,0.004484305
Canonical_H1_3,PI_7.0-14.0,0,0
Canonical_H2_0,Canonical_H3_0,0,0.040816327
Canonical_H2_0,Canonical_H3_1,0,0.043126685
Canonical_H2_0,Canonical_H3_2,0.052631579,0.022608696
Canonical_H2_0,Canonical_H3_3,0.067567568,0.041929925
Canonical_H2_0,PI_0.0-3.5,0.064516129,0.018761726
Canonical_H2_0,PI_3.5-3.9375,0.051724138,0.049122807
Canonical_H2_0,PI_3.9375-4.375,0.028571429,0.036792453
Canonical_H2_0,PI_4.375-4.8125,0,0.02173913
Canonical_H2_0,PI_4.8125-5.25,0,0.035634744
Canonical_H2_0,PI_5.25-5.6875,0,0.014326648
Canonical_H2_0,PI_5.6875-6.125,0,0.030013643
Canonical_H2_0,PI_6.125-7.0,0.125,0.037313433
Canonical_H2_0,PI_7.0-14.0,0,0.017045455
Canonical_H2_6,Canonical_H2_0,0,0
Canonical_H2_6,Canonical_H3_0,0.149606299,0.070947571
Canonical_H2_6,Canonical_H3_1,0.078740157,0.042368801
Canonical_H2_6,Canonical_H3_2,0.240310078,0.091544206
Canonical_H2_6,Canonical_H3_3,0.507575758,0.767273576
Canonical_H2_6,PI_0.0-3.5,0.186046512,0.081485053
Canonical_H2_6,PI_3.5-3.9375,0.392307692,0.29230038
Canonical_H2_6,PI_3.9375-4.375,0.21875,0.207086426
Canonical_H2_6,PI_4.375-4.8125,0.023622047,0.05280926
Canonical_H2_6,PI_4.8125-5.25,0.023622047,0.061145883
Canonical_H2_6,PI_5.25-5.6875,0.023622047,0.037171132
Canonical_H2_6,PI_5.6875-6.125,0.078740157,0.129326923
Canonical_H2_6,PI_6.125-7.0,0.0078125,0.049843487
Canonical_H2_6,PI_7.0-14.0,0.031496063,0.080299011
Canonical_H3_0,Canonical_H3_1,0,0
Canonical_H3_0,Canonical_H3_3,0,0
Canonical_H3_0,PI_0.0-3.5,0.022727273,0.016871166
Canonical_H3_0,PI_3.5-3.9375,0.140625,0.079545455
Canonical_H3_0,PI_3.9375-4.375,0.043478261,0.043664384
Canonical_H3_0,PI_4.375-4.8125,0,0.011173184
Canonical_H3_0,PI_4.8125-5.25,0.1,0.026315789
Canonical_H3_0,PI_5.25-5.6875,0.1,0.025974026
Canonical_H3_0,PI_5.6875-6.125,0.035714286,0.069682152
Canonical_H3_0,PI_6.125-7.0,0,0.036679537
Canonical_H3_0,PI_7.0-14.0,0.095238095,0.039556962
Canonical_H3_1,Canonical_H3_3,0,0
Canonical_H3_1,PI_0.0-3.5,0.090909091,0.018867925
Canonical_H3_1,PI_3.5-3.9375,0.032258065,0.037552156
Canonical_H3_1,PI_3.9375-4.375,0.026315789,0.046800382
Canonical_H3_1,PI_4.375-4.8125,0,0.004784689
Canonical_H3_1,PI_4.8125-5.25,0,0.01986755
Canonical_H3_1,PI_5.25-5.6875,0,0.03539823
Canonical_H3_1,PI_5.6875-6.125,0.25,0.034387895
Canonical_H3_1,PI_6.125-7.0,0,0.027295285
Canonical_H3_1,PI_7.0-14.0,0,0.038910506
Canonical_H3_2,Canonical_H3_0,0,0
Canonical_H3_2,Canonical_H3_1,0,0
Canonical_H3_2,Canonical_H3_3,0,0
Canonical_H3_2,PI_0.0-3.5,0.092592593,0.042194093
Canonical_H3_2,PI_3.5-3.9375,0.225352113,0.068813131
Canonical_H3_2,PI_3.9375-4.375,0.127272727,0.054471545
Canonical_H3_2,PI_4.375-4.8125,0.028571429,0.019704433
Canonical_H3_2,PI_4.8125-5.25,0,0.055732484
Canonical_H3_2,PI_5.25-5.6875,0,0.041509434
Canonical_H3_2,PI_5.6875-6.125,0.048780488,0.049559471
Canonical_H3_2,PI_6.125-7.0,0.029411765,0.040609137
Canonical_H3_2,PI_7.0-14.0,0.027777778,0.071428571
Canonical_H3_3,PI_0.0-3.5,0.209876543,0.085246843
Canonical_H3_3,PI_3.5-3.9375,0.272727273,0.274024226
Canonical_H3_3,PI_3.9375-4.375,0.231707317,0.204722222
Canonical_H3_3,PI_4.375-4.8125,0.02739726,0.060237475
Canonical_H3_3,PI_4.8125-5.25,0.013513514,0.060423826
Canonical_H3_3,PI_5.25-5.6875,0.013513514,0.032480598
Canonical_H3_3,PI_5.6875-6.125,0.037974684,0.121629213
Canonical_H3_3,PI_6.125-7.0,0.01369863,0.04817895
Canonical_H3_3,PI_7.0-14.0,0.013333333,0.070314715
Germ_HJ_IGHJ1*01,Canonical_H1_0,0,0
Germ_HJ_IGHJ1*01,Canonical_H1_1,0.007462687,0.007645968
Germ_HJ_IGHJ1*01,Canonical_H1_2,0,0
Germ_HJ_IGHJ1*01,Canonical_H1_3,0,0
Germ_HJ_IGHJ1*01,Canonical_H2_0,0,0.008849558
Germ_HJ_IGHJ1*01,Canonical_H2_6,0.007874016,0.007487923
Germ_HJ_IGHJ1*01,Canonical_H3_0,0,0.01754386
Germ_HJ_IGHJ1*01,Canonical_H3_1,0,0.022727273
Germ_HJ_IGHJ1*01,Canonical_H3_2,0.03030303,0.007092199
Germ_HJ_IGHJ1*01,Canonical_H3_3,0,0.005512039
Germ_HJ_IGHJ1*01,Germ_HJ_IGHJ2*01,0,0
Germ_HJ_IGHJ1*01,Germ_HJ_IGHJ4*02,0,0
Germ_HJ_IGHJ1*01,Germ_HJ_IGHJ5*02,0,0
Germ_HJ_IGHJ1*01,Germ_HJ_IGHJ6*01,0,0
Germ_HJ_IGHJ1*01,PI_0.0-3.5,0,0
Germ_HJ_IGHJ1*01,PI_3.5-3.9375,0,0.00150263
Germ_HJ_IGHJ1*01,PI_3.9375-4.375,0,0.002139037
Germ_HJ_IGHJ1*01,PI_4.375-4.8125,0,0.007722008
Germ_HJ_IGHJ1*01,PI_4.8125-5.25,0,0.027118644
