Feature value 1, Feature value 2, Jaccard coefficient for reference set, Jaccard coefficient for MMP-targeting set
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S2*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2-109*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-55*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2-112*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-20*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV16-104*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2-28*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-47*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1D-39*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2S3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-12*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-20*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2-29*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3D-20*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3-1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-6*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-68*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-21*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV8-28*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-117*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV8-27*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV5S10*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-32*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV19-93*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV14-100*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3-21*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-27*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-133*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV8-19*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV17-121*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-44*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV9-124*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S17*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV2-8*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV7-43*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S24*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-74*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-39*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV10-96*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S12*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3D-11*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1D-13*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2-137*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1D-33*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-79*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-17*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S15*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-91*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S22*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-14*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S2*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-57*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-11*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-47*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-110*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-59*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-86*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV13-84*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-40*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-53*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-51*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-110*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV8-24*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-88*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV2-11*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-9*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-40*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3D-15*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S10*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV12S24*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV1-36*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV2-14*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-10*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-12*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV2-23*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-4*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV17-127*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3-21*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV8-21*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-61*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2-30*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-25*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-17*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-11*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-17*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV3-1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-16*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV2S1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S3*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV5-43*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV10-94*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV12-41*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1S5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-80*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGLV3-25*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV1-NL1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV2-109*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-63*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-81*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV6-15*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_LV_IGKV4-70*01,0.0,0.0
