sequence id, heavy chain V region, heavy chain J region, Canonical H1, Canonical H2, Canonical H3, PI, frequent positional motif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_0,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.5-3.9375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_7_SGY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_YYD,Motif_3_SG,Motif_5_SG,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_4_YD,Motif_2_GS,Motif_7_SG,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,
r1_1,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.5-3.9375,Motif_3_SS,Motif_4_SS,Motif_9_FD,Motif_6_SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_2,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_0.0-3.5,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_3,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*04,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.8125-5.25,Motif_9_YYY,Motif_10_YYY,Motif_7_SGY,Motif_3_YY,Motif_6_SG,Motif_8_YY,Motif_3_SG,Motif_5_SG,Motif_8_YYY,Motif_10_YY,Motif_7_SG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_4_SG,Motif_9_YY,,,,,,,,,,,,
r1_4,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_GS,Motif_2_YG,Motif_9_FD,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,
r1_5,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.375-4.8125,Motif_9_YYY,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_8_YYY,Motif_10_YY,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,,,,
r1_6,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ4*02,Canonical_H1_1,Canonical_H2_6,Canonical_H3_0,PI_4.375-4.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1_7,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_4.375-4.8125,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_8,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_0.0-3.5,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,,,,
r1_9,Germ_HV_IGHV3-23*01,Germ_HJ_IGHJ6*01,Canonical_H1_1,Canonical_H2_6,Canonical_H3_3,PI_3.9375-4.375,Motif_9_YYY,Motif_10_YYG,Motif_10_YYY,Motif_3_YY,Motif_8_YY,Motif_3_YYD,Motif_2_GG,Motif_8_YYY,Motif_10_YY,Motif_4_YD,Motif_2_YG,Motif_2_YY,Motif_7_YY,Motif_7_YYY,Motif_6_YY,Motif_8_GY,Motif_5_YY,Motif_9_YY,,,,,,,,,,,,,
